Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1747.2274
FDW14,OUT017,1265.3572
NCN55,OUT010,202.73059
FDQ58,OUT017,2409.0208
FDY38,OUT027,6140.2974
FDH56,OUT046,1794.0352
FDL48,OUT018,524.5353
FDC48,OUT027,1505.3131
FDN33,OUT045,1237.3341
FDA36,OUT017,2284.401
FDT44,OUT017,1958.6144
FDQ56,OUT045,1390.0164
NCC54,OUT019,989.1907
FDU11,OUT049,1463.7004
DRL59,OUT013,739.5157
FDM24,OUT049,2820.786
FDI57,OUT045,3687.9001
DRC12,OUT018,3356.328
NCM42,OUT027,2786.6592
FDA46,OUT010,747.36743
FDA31,OUT013,2432.375
NCJ31,OUT035,3781.9368
FDG52,OUT046,885.9051
NCL19,OUT019,78.42318
FDS10,OUT035,2755.041
FDX22,OUT010,377.1534
NCF19,OUT035,674.97986
NCE06,OUT046,2321.693
DRC27,OUT046,3231.7805
FDE21,OUT035,2151.634
NCR42,OUT019,-136.25728
FDX51,OUT018,2517.1538
NCR06,OUT018,318.61642
FDU31,OUT027,4765.3726
FDU59,OUT017,2219.6257
FDR03,OUT027,6126.614
FDS49,OUT027,2287.9321
FDD48,OUT010,349.79984
NCF18,OUT017,3135.2817
NCD43,OUT027,1907.5378
NCD54,OUT018,1520.0459
FDY19,OUT010,201.204
NCY54,OUT017,2220.907
NCL19,OUT018,1911.6447
FDP23,OUT010,708.05347
FDC26,OUT013,1799.5206
FDR14,OUT010,73.0201
NCS41,OUT035,3410.5974
FDF41,OUT035,3897.8533
FDU34,OUT046,1930.4293
DRH11,OUT046,923.57776
FDM03,OUT013,1923.5027
FDS31,OUT017,3267.9678
FDJ20,OUT017,1768.03
FDV44,OUT027,4546.815
FDG02,OUT049,2799.7878
FDA09,OUT013,3594.1213
FDT04,OUT013,576.3923
FDL58,OUT019,-40.275654
FDE52,OUT045,1645.1481
FDW12,OUT035,2804.1438
FDL51,OUT017,3515.291
NCY42,OUT027,3351.0845
FDR07,OUT017,661.9601
FDN40,OUT045,2289.1726
FDB35,OUT027,2425.7021
FDA22,OUT017,3074.2212
NCL06,OUT046,4701.394
FDI35,OUT013,3857.8608
NCW42,OUT045,4787.3833
NCX06,OUT049,3782.4558
FDC37,OUT027,2401.364
FDZ14,OUT018,1972.729
DRG49,OUT049,5415.909
NCG06,OUT045,3598.1895
DRC36,OUT045,3027.9954
FDV21,OUT019,396.4332
FDB53,OUT046,2544.3257
DRP47,OUT019,460.35825
FDA14,OUT013,2395.384
DRC24,OUT035,2212.149
FDW21,OUT018,1998.915
NCH29,OUT046,1882.9644
FDU58,OUT013,3585.58
FDY27,OUT017,2666.637
FDV56,OUT035,1633.227
FDT59,OUT046,3242.8853
FDB23,OUT046,2967.5444
FDR49,OUT045,781.1484
FDB03,OUT010,94.228485
FDN39,OUT045,3004.786
FDX02,OUT027,5913.993
FDQ16,OUT027,2874.5623
FDU35,OUT018,1745.6614
NCT29,OUT013,1864.55
FDZ27,OUT046,629.8903
FDN57,OUT017,2002.5674
FDA03,OUT018,1907.433
FDZ36,OUT045,3266.3347
NCU05,OUT013,1135.3297
FDT39,OUT018,2170.465
FDK60,OUT017,1544.1409
FDZ25,OUT017,3370.7214
FDG12,OUT046,2018.8735
DRB01,OUT019,329.63544
NCC43,OUT027,5189.021
FDX13,OUT019,936.24365
FDM22,OUT049,1294.1136
FDJ03,OUT027,1457.6461
FDU14,OUT018,4393.776
FDB33,OUT010,343.33173
FDP27,OUT046,3263.3586
FDO38,OUT010,300.79596
FDE28,OUT027,5544.5166
FDO27,OUT035,1538.6992
DRL23,OUT027,2014.9907
FDS28,OUT046,865.37775
FDX24,OUT013,1660.8806
FDZ02,OUT035,1310.9174
FDL46,OUT045,679.54034
FDS60,OUT027,3733.5203
NCO06,OUT017,578.5247
FDO16,OUT035,1612.6267
FDC60,OUT049,1632.1788
FDA48,OUT018,2407.9653
FDZ36,OUT027,5076.24
FDK27,OUT045,1846.5559
FDW23,OUT018,663.197
FDM14,OUT018,1330.0161
FDM14,OUT013,1641.7909
FDW60,OUT018,1664.9341
FDE21,OUT013,2061.8782
NCM42,OUT035,1793.0624
FDY59,OUT010,134.14264
DRI49,OUT049,1358.8906
FDT28,OUT019,407.34064
FDQ22,OUT018,441.99326
FDR60,OUT049,1490.0101
FDC50,OUT019,263.73633
FDV24,OUT013,2399.256
DRF48,OUT010,332.25497
